country,event_date,goldstein_forecast
CHN,2024-01-01,-1.495278538035472
CHN,2024-01-02,-1.4783924193040068
CHN,2024-01-03,-1.2747706084731405
CHN,2024-01-04,-1.2893043056728812
CHN,2024-01-05,-1.537921317073558
CHN,2024-01-06,-1.3211544366923174
CHN,2024-01-07,-1.5934075178129428
JPN,2024-01-01,-2.125808605248673
JPN,2024-01-02,-1.9300631954136624
JPN,2024-01-03,-1.886906480326301
JPN,2024-01-04,-1.8162695302116736
JPN,2024-01-05,-1.8835252711757575
JPN,2024-01-06,-1.820547461244457
JPN,2024-01-07,-2.003111424163767
RUS,2024-01-01,-5.3971751422755325
RUS,2024-01-02,-5.398639050393032
RUS,2024-01-03,-5.305048590830021
RUS,2024-01-04,-5.303749247727015
RUS,2024-01-05,-5.407511403543265
RUS,2024-01-06,-5.4751657791698465
RUS,2024-01-07,-5.1117165848086294
TWN,2024-01-01,-1.097315818967276
TWN,2024-01-02,-1.077058657207376
TWN,2024-01-03,-0.9636420271165299
TWN,2024-01-04,-1.0825441445037045
TWN,2024-01-05,-1.0522228971302252
TWN,2024-01-06,-1.0193724887007305
TWN,2024-01-07,-1.1997186439747105
UKR,2024-01-01,1.541762374022623
UKR,2024-01-02,1.494582918653194
UKR,2024-01-03,1.5801803162930868
UKR,2024-01-04,1.5300046102778673
UKR,2024-01-05,1.5038524623564267
UKR,2024-01-06,1.4985774401049565
UKR,2024-01-07,1.5314360201343238
USA,2024-01-01,0.8364933509574662
USA,2024-01-02,1.0766096729714913
USA,2024-01-03,0.9429587250553741
USA,2024-01-04,0.8227247291583399
USA,2024-01-05,0.9100142705453044
USA,2024-01-06,0.8803620000308795
USA,2024-01-07,1.0446439321387573
