date,text,actor1,actor2,label,source,GoldsteinScale
2025-05-20,GDELT event between NGA and Unknown with code 193,NGA,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and Unknown with code 190,Unknown,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and JPN with code 190,Unknown,JPN,1,gdelt,-10.0
2025-05-20,GDELT event between PAK and Unknown with code 190,PAK,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and USA with code 190,Unknown,USA,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and NGA with code 190,Unknown,NGA,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and Unknown with code 193,Unknown,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and Unknown with code 193,Unknown,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between USA and Unknown with code 193,USA,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between USA and KOR with code 19,USA,KOR,1,gdelt,3.4
2025-05-20,GDELT event between ISR and ISR with code 195,ISR,ISR,1,gdelt,-10.0
2025-05-20,GDELT event between CHN and PAK with code 190,CHN,PAK,1,gdelt,-10.0
2025-05-20,GDELT event between EGY and USA with code 193,EGY,USA,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and ISR with code 192,Unknown,ISR,1,gdelt,-9.5
2025-05-20,GDELT event between PAK and Unknown with code 190,PAK,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and MMR with code 192,Unknown,MMR,1,gdelt,-9.5
2025-05-20,GDELT event between Unknown and Unknown with code 195,Unknown,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between PAK and Unknown with code 190,PAK,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and Unknown with code 193,Unknown,Unknown,1,gdelt,-10.0
2025-05-20,GDELT event between Unknown and VNM with code 190,Unknown,VNM,1,gdelt,-10.0
2025-05-20,GDELT event between USA and VNM with code 190,USA,VNM,1,gdelt,-10.0
2025-05-20,GDELT event between PAK and CHN with code 190,PAK,CHN,1,gdelt,-10.0
2025-05-20,GDELT event between USA and KOR with code 19,USA,KOR,1,gdelt,3.4
2025-05-20,GDELT event between ESP and Unknown with code 192,ESP,Unknown,1,gdelt,-9.5
2025-05-20,GDELT event between FRA and USA with code 193,FRA,USA,1,gdelt,-10.0
