date,text,label,source,side_a,side_b,type_of_violence,best
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,23
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,12
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,5
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,13
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,19
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,8
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,16
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,8
